riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs7232-?	6.00E-07	-	NR	1.0942651	-	-	MS4A6A	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST005549	1002896:26:00	28714976	Sims R
rs7412-?	3.00E-105	-	NR	2.3065467	-	-	APOE	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST005549	748499:22:00	28714976	Sims R
rs143332484-T	2.00E-14	-	NR	1.6665556	-	[1.46-1.90]	TREM2	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST005549	686030:29:00	28714976	Sims R
rs616338-T	5.00E-10	-	NR	1.4296066	-	[1.3-1.6]	ABI3	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST005549	820349:15:00	28714976	Sims R
rs72824905-?	5.00E-10	-	NR	1.4756235	-	[1.25-1.67]	PLCG2	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST005549	1365156:23:00	28714976	Sims R
rs75932628-T	5.00E-24	-	NR	2.4557426	-	[2.06-2.92]	TREM2	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST005549	686031:14:00	28714976	Sims R
rs78541046-?	2.00E-06	(adjusted)	NR	6.2228026	-	[2.94-12.5]	RHBDF1	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST005549	1066:29:00	28714976	Sims R
rs11828907-C	2.00E-07	-	NR	4.4935546	-	[2.55-7.92]	AHNAK	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST005549	1042036:06:00	28714976	Sims R
rs139967528-G	6.00E-10	-	NR	6.119662	-	[3.45-10.9]	ATP5F1C	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST005549	130007:28:00	28714976	Sims R
rs201850688-G	9.00E-06	-	NR	1.804889	-	[1.39-2.34]	BSG	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST005549	9563:31:00	28714976	Sims R
rs201879533-?	4.00E-06	(adjusted)	NR	5.6306844	-	[2.7-12.5]	THSD4	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST005549	1195796:52:00	28714976	Sims R
rs56009889-?	6.00E-07	-	NR	3.0578122	-	[1.96-4.76]	C11orf65,ATM	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST005549	1805447:09:00	28714976	Sims R
rs148619105-?	1.00E-07	-	NR	1.8587084	-	[1.47-2.33]	TECTA	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST005549	2019111:15:00	28714976	Sims R
rs7185636-T	2.00E-08	-	0.82	1.0869565	-	[1.05-1.12]	IQCK	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	329963:21:00	30820047	Kunkle BW
rs593742-A	7.00E-09	-	0.705	1.0752687	-	[1.05-1.1]	SNORD3P1,ADAM10	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	979241:15:00	30820047	Kunkle BW
rs2830500-C	3.00E-08	-	0.692	1.0752687	-	[1.04-1.1]	CYYR1,ADAMTS1	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	446429:57:00	30820047	Kunkle BW
rs4735340-T	9.00E-08	-	0.524	1.0638298	-	[1.04-1.09]	NDUFAF6	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	1582741:43:00	30820047	Kunkle BW
rs10467994-T	4.00E-07	-	0.667	1.0638298	-	[1.04-1.09]	SPPL2A	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	845289:50:00	30820047	Kunkle BW
rs2632516-G	5.00E-08	-	0.56	1.0638298	-	[1.04-1.1]	MIR142HG,TSPOAP1-AS1	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	972212:28:00	30820047	Kunkle BW
rs7295246-G	4.00E-07	-	0.413	1.06	-	[1.04-1.08]	EEF1A1P17,ADAMTS20	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	726243:14:00	30820047	Kunkle BW
rs7920721-G	2.00E-11	-	0.39	1.08	-	[1.06-1.11]	ECHDC3,USP6NL-AS1	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	194648:29:00	30820047	Kunkle BW
rs138190086-A	5.00E-09	-	0.02	1.3	-	[1.19-1.42]	CYB561,PPIAP55	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	1057696:47:00	30820047	Kunkle BW
rs114812713-C	2.00E-13	-	0.03	1.32	-	[1.22-1.42]	OARD1	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	684443:41:00	30820047	Kunkle BW
rs62039712-A	4.00E-08	-	0.116	1.16	-	[1.10-1.23]	RNA5SP431,MAF	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	1322048:40:00	30820047	Kunkle BW
rs35868327-T	3.00E-07	-	0.987	1.4705882	-	[1.27-1.69]	FST,RPL13AP13	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	889495:00:00	30820047	Kunkle BW
rs71618613-A	3.00E-07	-	0.99	1.4084507	-	[1.23-1.59]	LINC02109	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	483436:18:00	30820047	Kunkle BW
rs190094306-?	4.00E-06	-	NR	1.62	-	[1.32-1.99]	NXT1P1,NHLRC3	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	650857:45:00	30820047	Kunkle BW
rs187857322-?	2.00E-06	-	NR	1.63	-	[1.33-2.00]	OR7E136P,OR7E59P	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	114494:09:00	30820047	Kunkle BW
rs192326911-?	3.00E-06	-	NR	1.65	-	[1.34-2.04]	RDH10-AS1,STAU2-AS1	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	1222976:23:00	30820047	Kunkle BW
rs192098867-?	7.00E-06	-	NR	1.2987013	-	[1.16-1.47]	TRPM1	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	519174:18:00	30820047	Kunkle BW
rs35833468-?	3.00E-06	-	NR	1.0869565	-	[1.04-1.12]	EGLN3	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	566259:20:00	30820047	Kunkle BW
rs190217640-?	7.00E-06	-	NR	1.4492754	-	[1.23-1.69]	NEGR1	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	1195932:48:00	30820047	Kunkle BW
rs19213255-?	4.00E-06	-	NR	1.3333333	-	[1.18-1.49]	-	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	-	30820047	Kunkle BW
rs182921547-?	8.00E-07	-	NR	1.38	-	[1.21-1.56]	MAPRE1P2,LINC02353	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	547213:48:00	30820047	Kunkle BW
rs8111708-?	2.00E-06	-	NR	1.06	-	[1.03-1.09]	ELL	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	307486:46:00	30820047	Kunkle BW
rs11038990-?	6.00E-06	-	NR	1.09	-	[1.05-1.13]	CKAP5	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	779731:11:00	30820047	Kunkle BW
rs6806784-?	4.00E-06	-	NR	1.53	-	[1.28-1.83]	SENP7	Alzheimer's disease (late onset)	late-onset Alzheimers disease	-	GCST007511	1691812:51:00	30820047	Kunkle BW
rs117618017-?	7.00E-12	-	NR	-	-	-	APH1B	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	1054643:23:00	34493870	Wightman DP
rs7209200-?	3.00E-08	-	NR	-	-	-	SLC52A1,ZFP3-DT	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	84461:05:00	34493870	Wightman DP
rs708382-?	2.00E-09	-	NR	-	-	-	RPL7L1P5,FAM171A2	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	739433:16:00	34493870	Wightman DP
rs28394864-?	5.00E-10	-	NR	-	-	-	PHB1,ZNF652-AS1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	822907:13:00	34493870	Wightman DP
rs2632516-?	7.00E-10	-	NR	-	-	-	MIR142HG,TSPOAP1-AS1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	972212:28:00	34493870	Wightman DP
rs6504163-?	1.00E-09	-	NR	-	-	-	PPIAP55,CYB561	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	1057823:58:00	34493870	Wightman DP
rs12151021-?	3.00E-15	-	NR	-	-	-	ABCA7	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	17533:35:00	34493870	Wightman DP
rs429358-?	1.00E-300	-	NR	-	-	-	APOE	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	748497:04:00	34493870	Wightman DP
rs2452170-?	2.00E-08	-	NR	-	-	-	MAMSTR,FUT2	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	811856:27:00	34493870	Wightman DP
rs1354106-?	2.00E-10	-	NR	-	-	-	CD33	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	853931:16:00	34493870	Wightman DP
rs1761461-?	2.00E-09	-	NR	-	-	-	LILRA5,VN1R104P	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	905250:43:00	34493870	Wightman DP
rs6069737-?	7.00E-16	-	NR	-	-	-	CASS4	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	940364:03:00	34493870	Wightman DP
rs2154482-?	8.00E-10	-	NR	-	-	-	APP	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	435831:13:00	34493870	Wightman DP
rs113020870-?	4.00E-08	-	NR	-	-	-	AGRN	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	17500:57:00	34493870	Wightman DP
rs679515-?	2.00E-25	-	NR	-	-	-	CR1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	3459621:23:00	34493870	Wightman DP
rs115186657-?	1.00E-08	-	NR	-	-	-	LINC02946,NCK2	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	1760318:11:00	34493870	Wightman DP
rs4663105-?	4.00E-58	-	NR	-	-	-	BIN1,NIFKP9	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	2118899:31:00	34493870	Wightman DP
rs7597763-?	5.00E-09	-	NR	-	-	-	INPP5D	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	3886234:11:00	34493870	Wightman DP
rs4504245-?	5.00E-12	-	NR	-	-	-	LINC02498,MIR572	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	183557:18:00	34493870	Wightman DP
rs871269-?	1.00E-09	-	NR	-	-	-	TNIP1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	2517552:07:00	34493870	Wightman DP
rs6891966-?	8.00E-10	-	NR	-	-	-	HAVCR2	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	2618327:00:00	34493870	Wightman DP
rs1846190-?	3.00E-14	-	NR	-	-	-	HLA-DQA1,HLA-DRB1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	543606:36:00	34493870	Wightman DP
rs187370608-?	1.00E-25	-	NR	-	-	-	UNC5CL,LRFN2	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	682913:37:00	34493870	Wightman DP
rs9369716-?	2.00E-17	-	NR	-	-	-	CD2AP	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	793080:04:00	34493870	Wightman DP
rs5011436-?	3.00E-09	-	NR	-	-	-	TMEM106B	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	203825:52:00	34493870	Wightman DP
rs7384878-?	9.00E-16	-	NR	-	-	-	PMS2P1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	1672247:26:00	34493870	Wightman DP
rs3935067-?	5.00E-11	-	NR	-	-	-	EPHA1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	2390127:38:00	34493870	Wightman DP
rs1532278-?	2.00E-22	-	NR	-	-	-	CLU	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	460154:38:00	34493870	Wightman DP
rs61732533-?	3.00E-09	-	NR	-	-	-	OPLAH	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	2400895:28:00	34493870	Wightman DP
rs7912495-?	8.00E-15	-	NR	-	-	-	ECHDC3,USP6NL-AS1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	194621:54:00	34493870	Wightman DP
rs7902657-?	4.00E-08	-	NR	-	-	-	ANK3,LINC01553	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	999649:54:00	34493870	Wightman DP
rs3740688-?	9.00E-09	-	NR	-	-	-	SPI1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	789324:09:00	34493870	Wightman DP
rs1582763-?	3.00E-33	-	NR	-	-	-	MS4A4A	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	1004252:15:00	34493870	Wightman DP
rs561655-?	1.00E-26	-	NR	-	-	-	PICALM,RNU6-560P	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	1434831:37:00	34493870	Wightman DP
rs11218343-?	1.00E-13	-	NR	-	-	-	SORL1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	2026092:18:00	34493870	Wightman DP
rs7146179-?	7.00E-11	-	NR	-	-	-	GNPNAT1,FERMT2	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	880549:35:00	34493870	Wightman DP
rs12590654-?	7.00E-17	-	NR	-	-	-	SLC24A4	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	1541222:31:00	34493870	Wightman DP
rs602602-?	6.00E-15	-	NR	-	-	-	MINDY2,SNORD3P1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90044699	979428:44:00	34493870	Wightman DP
APOE-?	1.00E-49	-	NR	-	-	-	-	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST006806	-	29360470	Miron J
rs10119-?	2.00E-57	-	NR	2.731	-	-	TOMM40	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST90026599	748409:16:00	34151794	Kang S
rs189753894-?	2.00E-08	-	NR	1.787	-	-	CACNA1A	Late-onset Alzheimer’s disease in APOEe4 non-carriers	late-onset Alzheimers disease	APOE carrier status	GCST90026601	225246:55:00	34151794	Kang S
rs2280575-?	2.00E-08	-	NR	0.544	-	-	LRIG1	Late-onset Alzheimer’s disease in APOEe4 non-carriers	late-onset Alzheimers disease	APOE carrier status	GCST90026601	1108210:19:00	34151794	Kang S
rs6733839-?	5.00E-20	-	NR	1.23	-	[1.18 – 1.28]	BIN1,NIFKP9	Alzheimer's disease	Alzheimer disease	-	GCST009019	2118922:34:00	31473137	Moreno-Grau S
rs983392-?	5.00E-08	-	NR	1.1235955	-	-	LINC02705,MS4A2	Alzheimer's disease	Alzheimer disease	-	GCST009019	1002611:35:00	31473137	Moreno-Grau S
rs10792832-?	2.00E-11	-	NR	1.1627907	-	-	LINC02695,RNU6-560P	Alzheimer's disease	Alzheimer disease	-	GCST009019	1435958:13:00	31473137	Moreno-Grau S
rs429358-?	2.00E-303	-	NR	3.21	-	[3.02 – 3.41]	APOE	Alzheimer's disease	Alzheimer disease	-	GCST009019	748497:04:00	31473137	Moreno-Grau S
rs3865444-?	7.00E-06	-	NR	1.1111112	-	-	CD33,SIGLEC22P	Alzheimer's disease	Alzheimer disease	-	GCST009019	853764:06:00	31473137	Moreno-Grau S
rs4704171-?	1.00E-08	-	NR	1.18	-	[1.11-1.24]	ANKRD31	Alzheimer's disease	Alzheimer disease	-	GCST009019	1251212:09:00	31473137	Moreno-Grau S
rs11218343-?	1.00E-10	-	NR	1.2820514	-	[1.37-1.19]	SORL1	Alzheimer's disease	Alzheimer disease	-	GCST009021	2026092:18:00	31473137	Moreno-Grau S
rs2732703-?	1.00E-07	-	NR	1.1627907	-	[1.23-1.1]	ARL17B	Alzheimer's disease	Alzheimer disease	-	GCST009021	771281:16:00	31473137	Moreno-Grau S
rs9331896-?	6.00E-15	-	NR	1.1363636	-	[1.16-1.1]	CLU	Alzheimer's disease	Alzheimer disease	-	GCST009021	460177:29:00	31473137	Moreno-Grau S
rs10792832-?	4.00E-18	-	NR	1.1363636	-	[1.1-1.16]	LINC02695,RNU6-560P	Alzheimer's disease	Alzheimer disease	-	GCST009021	1435958:13:00	31473137	Moreno-Grau S
rs983392-?	9.00E-13	-	NR	1.1111112	-	[1.08-1.15]	LINC02705,MS4A2	Alzheimer's disease	Alzheimer disease	-	GCST009021	1002611:35:00	31473137	Moreno-Grau S
rs11771145-?	5.00E-10	-	NR	1.098901	-	[1.06-1.14]	EPHA1-AS1	Alzheimer's disease	Alzheimer disease	-	GCST009021	2390234:49:00	31473137	Moreno-Grau S
rs10498633-?	1.00E-06	-	NR	1.0869565	-	[1.05-1.14]	SLC24A4	Alzheimer's disease	Alzheimer disease	-	GCST009021	1541024:08:00	31473137	Moreno-Grau S
rs3865444-?	4.00E-08	-	NR	1.0869565	-	[1.05-1.12]	CD33,SIGLEC22P	Alzheimer's disease	Alzheimer disease	-	GCST009021	853764:06:00	31473137	Moreno-Grau S
rs190982-?	4.00E-06	-	NR	1.0752687	-	[1.11-1.04]	MEF2C-AS1	Alzheimer's disease	Alzheimer disease	-	GCST009021	1482131:43:00	31473137	Moreno-Grau S
rs1476679-?	2.00E-06	-	NR	1.0752687	-	[1.11-1.04]	ZCWPW1	Alzheimer's disease	Alzheimer disease	-	GCST009021	1673454:03:00	31473137	Moreno-Grau S
rs2718058-?	2.00E-06	-	NR	1.0638298	-	[1.10-1.03]	GPR141	Alzheimer's disease	Alzheimer disease	-	GCST009021	630039:12:00	31473137	Moreno-Grau S
rs10838725-?	3.00E-06	-	NR	1.07	-	[1.04-1.10]	CELF1	Alzheimer's disease	Alzheimer disease	-	GCST009021	792282:59:00	31473137	Moreno-Grau S
rs9271192-?	5.00E-07	-	NR	1.09	-	[1.13-1.05]	HLA-DQA1,HLA-DRB1	Alzheimer's disease	Alzheimer disease	-	GCST009021	543518:33:00	31473137	Moreno-Grau S
rs28834970-?	6.00E-09	-	NR	1.09	-	[1.12-1.06]	PTK2B	Alzheimer's disease	Alzheimer disease	-	GCST009021	455634:44:00	31473137	Moreno-Grau S
rs10948363-?	5.00E-09	-	NR	1.1	-	[1.13-1.06]	CD2AP	Alzheimer's disease	Alzheimer disease	-	GCST009021	792006:26:00	31473137	Moreno-Grau S
rs4147929-?	3.00E-09	-	NR	1.12	-	[1.08-1.17]	ABCA7	Alzheimer's disease	Alzheimer disease	-	GCST009021	17743:04:00	31473137	Moreno-Grau S
rs6656401-?	2.00E-14	-	NR	1.15	-	[1.11-1.19]	CR1	Alzheimer's disease	Alzheimer disease	-	GCST009021	3458646:04:00	31473137	Moreno-Grau S
rs6733839-?	3.00E-30	-	NR	1.2	-	[1.16-1.23]	BIN1,NIFKP9	Alzheimer's disease	Alzheimer disease	-	GCST009021	2118922:34:00	31473137	Moreno-Grau S
rs10098778-?	2.00E-08	-	NR	1.0638298	-	[1.04-1.09]	NDUFAF6	Alzheimer's disease	Alzheimer disease	-	GCST009021	1583004:32:00	31473137	Moreno-Grau S
rs7225151-?	1.00E-08	-	NR	1.1	-	[1.06-1.14]	ZNF594-DT,SCIMP	Alzheimer's disease	Alzheimer disease	-	GCST009021	87246:12:00	31473137	Moreno-Grau S
rs429358-C	1.00E-62	-	0.17	2.27	-	[2.5-2.06]	APOE	Alzheimer's disease	Alzheimer disease	-	GCST009020	748497:04:00	31473137	Moreno-Grau S
rs429358-C	1.00E-64	-	0.17	2.39	-	[2.64-2.17]	APOE	Alzheimer’s disease (clinical subgroup AD+)	Alzheimer disease	-	GCST009022	748497:04:00	31473137	Moreno-Grau S
rs429358-C	1.00E-76	-	0.17	2.71	-	[3.01-2.44]	APOE	Alzheimer’s disease (clinical subgroup AD++)	Alzheimer disease	-	GCST009023	748497:04:00	31473137	Moreno-Grau S
rs429358-C	1.00E-75	-	0.17	2.92	-	[3.27-2.6]	APOE	Alzheimer’s disease (clinical subgroup AD+++)	Alzheimer disease	-	GCST009024	748497:04:00	31473137	Moreno-Grau S
rs429358-C	4.00E-43	-	0.126	2.39	-	[2.11-2.70]	APOE	Alzheimer's disease (onset at age over 80)	Alzheimer disease	-	GCST009497	748497:04:00	30979435	Lo MT
rs7412-C	6.00E-12	-	0.93	1.8518518	-	[1.54-2.22]	APOE	Alzheimer's disease (onset at age over 80)	Alzheimer disease	-	GCST009497	748499:22:00	30979435	Lo MT
rs7412-C	3.00E-33	-	0.947	2.173913	-	[1.89-2.44]	APOE	Alzheimer's disease (onset between ages 58 and 79)	Alzheimer disease	-	GCST009496	748499:22:00	30979435	Lo MT
rs111371860-A	1.00E-12	-	0.961	1.6949153	-	[1.45-1.92]	NECTIN2,BCAM	Alzheimer's disease (onset between ages 58 and 79)	Alzheimer disease	-	GCST009496	747394:30:00	30979435	Lo MT
rs440446-G	9.00E-59	-	0.686	1.6393442	-	[1.56-1.75]	APOE	Alzheimer's disease (onset between ages 58 and 79)	Alzheimer disease	-	GCST009496	748450:50:00	30979435	Lo MT
rs449647-A	9.00E-22	-	0.887	1.6129031	-	[1.45-1.79]	APOE,TOMM40	Alzheimer's disease (onset between ages 58 and 79)	Alzheimer disease	-	GCST009496	748440:47:00	30979435	Lo MT
rs78986976-G	5.00E-08	-	0.968	1.5384616	-	[1.32-1.79]	BCAM,NECTIN2	Alzheimer's disease (onset between ages 58 and 79)	Alzheimer disease	-	GCST009496	747122:01:00	30979435	Lo MT
rs35568738-G	9.00E-10	-	0.953	1.4925373	-	[1.32-1.69]	TOMM40	Alzheimer's disease (onset between ages 58 and 79)	Alzheimer disease	-	GCST009496	748343:21:00	30979435	Lo MT
rs71352239-C	3.00E-14	-	0.807	1.4492754	-	[1.32-1.59]	APOC1,APOC1P1	Alzheimer's disease (onset between ages 58 and 79)	Alzheimer disease	-	GCST009496	748790:26:00	30979435	Lo MT
rs2967668-A	3.00E-11	-	0.913	1.4084507	-	[1.28-1.56]	CBLC	Alzheimer's disease (onset between ages 58 and 79)	Alzheimer disease	-	GCST009496	746680:34:00	30979435	Lo MT
rs76692773-C	4.00E-09	-	0.937	1.4084507	-	[1.27-1.59]	TOMM40	Alzheimer's disease (onset between ages 58 and 79)	Alzheimer disease	-	GCST009496	748201:34:00	30979435	Lo MT
rs640345-T	8.00E-09	-	0.824	1.3157895	-	[1.19-1.45]	KIR3DL2	Alzheimer's disease (onset between ages 58 and 79)	Alzheimer disease	-	GCST009496	914209:04:00	30979435	Lo MT
rs4803748-C	3.00E-16	-	0.617	1.2820514	-	[1.22-1.37]	CEACAM16-AS1,BCL3	Alzheimer's disease (onset between ages 58 and 79)	Alzheimer disease	-	GCST009496	745748:51:00	30979435	Lo MT
rs3851179-C	1.00E-08	-	0.648	1.1764705	-	[1.11-1.23]	RNU6-560P,LINC02695	Alzheimer's disease (onset between ages 58 and 79)	Alzheimer disease	-	GCST009496	1435970:58:00	30979435	Lo MT
rs13025717-T	8.00E-10	-	0.295	1.2	-	[1.13-1.28]	BIN1,NIFKP9	Alzheimer's disease (onset between ages 58 and 79)	Alzheimer disease	-	GCST009496	2118811:42:00	30979435	Lo MT
rs3818361-A	5.00E-09	-	0.204	1.21	-	[1.14-1.29]	CR1	Alzheimer's disease (onset between ages 58 and 79)	Alzheimer disease	-	GCST009496	3460194:43:00	30979435	Lo MT
rs35336243-T	2.00E-09	-	0.293	1.24	-	[1.15-1.33]	APOC1P1,APOC4	Alzheimer's disease (onset between ages 58 and 79)	Alzheimer disease	-	GCST009496	749006:42:00	30979435	Lo MT
rs7561528-A	2.00E-15	-	0.37	1.26	-	[1.19-1.33]	BIN1,NIFKP9	Alzheimer's disease (onset between ages 58 and 79)	Alzheimer disease	-	GCST009496	2118869:41:00	30979435	Lo MT
rs79638902-T	1.00E-10	-	0.127	1.33	-	[1.22-1.45]	CEACAM16-AS1	Alzheimer's disease (onset between ages 58 and 79)	Alzheimer disease	-	GCST009496	745327:15:00	30979435	Lo MT
